date,ping,poids
2014-07-11 09:51:07,544,10820
2014-07-11 07:06:07,913,10800
2014-07-11 04:24:03,2204,10800
2014-07-11 01:39:07,836,10800
2014-07-10 22:57:02,2223,10708
2014-07-10 20:12:06,1997,10708
2014-07-10 17:27:04,2096,10708
2014-07-08 16:42:03,2187,10708
2014-07-08 14:00:12,2555,10708
2014-07-08 11:09:03,5546,10708
2014-07-08 08:18:04,4637,10708
2014-07-08 05:30:08,0007,10708
2014-07-08 02:42:04,6396,10708
2014-07-07 23:51:09,028,10708
2014-07-07 21:03:04,0654,10708
2014-07-07 18:18:05,6438,10708
2014-07-07 15:33:07,6212,10708
2014-07-07 12:48:05,2165,10708
2014-07-07 09:18:08,6118,10708
2014-07-07 06:33:03,5596,10708
2014-07-07 03:45:09,0644,10708
2014-07-07 00:57:07,4328,10708
2014-07-06 22:12:05,0808,10708
2014-07-06 19:24:07,2203,10708
2014-07-06 16:36:03,6256,10708
2014-07-06 13:48:03,2264,10708
2014-07-06 11:03:04,403,10708
2014-07-06 08:15:08,1935,10708
2014-07-06 05:30:03,5304,10708
2014-07-06 02:39:05,6535,10708
2014-07-05 23:45:05,9998,10708
2014-07-05 21:00:02,3741,10708
2014-07-05 18:12:04,4798,10708
2014-07-05 15:27:03,4001,10708
2014-07-05 12:39:04,1981,10708
2014-07-05 09:51:03,2126,10708
2014-07-05 07:00:06,0988,10708
2014-07-05 04:09:05,4554,10708
2014-07-05 01:24:03,2076,10708
2014-07-04 22:36:08,6744,10708
2014-07-04 19:51:03,5459,10708
2014-07-04 17:12:13,4241,10708
2014-07-04 12:42:06,5724,10708
2014-07-04 10:03:07,2343,10708
2014-07-04 07:21:04,5666,10708
2014-07-04 04:36:05,7738,10708
2014-07-04 01:54:03,0711,10708
2014-07-03 23:09:06,2159,10708
2014-07-03 20:24:05,3856,10708
2014-07-03 17:42:03,1909,10708
2014-07-03 14:06:12,8059,10708
2014-07-03 11:24:03,8008,10708
2014-07-03 08:39:04,998,10708
2014-07-03 05:54:08,5978,10708
2014-07-03 03:12:03,5315,10708
2014-07-03 00:27:05,1922,10708
2014-07-02 21:45:02,2382,10708
2014-07-02 19:00:08,8631,10708
2014-07-02 16:15:08,4181,10708
2014-07-02 13:33:04,909,10708
2014-07-02 10:48:09,5172,10708
2014-07-02 08:06:02,574,10708
2014-07-02 05:24:05,4779,10708
2014-07-02 02:39:03,5588,10708
2014-07-01 23:54:04,5635,10708
2014-07-01 21:12:03,9173,10708
2014-07-01 18:27:05,2858,10708
2014-07-01 15:45:03,2226,10708
2014-07-01 13:00:03,471,10708
2014-07-01 10:15:04,8096,10708
2014-07-01 07:33:03,5494,10708
2014-07-01 04:48:07,4148,10708
2014-07-01 02:06:05,7735,10708
2014-06-30 23:21:03,6432,10708
2014-06-30 20:36:09,9927,10708
2014-06-30 17:54:03,7408,10708
2014-06-30 15:09:04,3983,10708
2014-06-30 12:27:02,2164,10708
2014-06-30 09:42:04,2057,10708
2014-06-30 07:00:05,3942,10708
2014-06-30 04:15:04,6864,10708
2014-06-30 01:33:02,5534,10708
2014-06-29 22:48:07,2141,10708
2014-06-29 20:06:02,2465,10708
2014-06-29 17:21:04,2053,10708
2014-06-29 14:39:03,662,10708
2014-06-29 11:54:05,8258,10708
2014-06-29 09:12:03,4966,10708
2014-06-29 06:27:07,6017,10708
2014-06-29 03:42:07,1625,10708
2014-06-29 01:00:04,8795,10708
2014-06-28 22:15:05,7161,10708
2014-06-28 19:33:03,1982,10708
2014-06-28 16:48:03,4495,10708
2014-06-28 14:06:03,6707,10708
2014-06-28 11:21:03,2656,10708
2014-06-28 08:39:02,3577,10708
2014-06-28 05:54:04,3346,10708
2014-06-28 03:12:05,3477,10708
2014-06-28 00:27:06,9829,10708
2014-06-27 21:45:03,0966,10708
