iso;type;code
FR-IDF;insee;11
FR-75;insee;75
FR-77;insee;77
FR-78;insee;78
FR-91;insee;91
FR-92;insee;92
FR-93;insee;93
FR-94;insee;94
FR-95;insee;95
FR-CVL;insee;24
FR-18;insee;18
FR-28;insee;28
FR-36;insee;36
FR-37;insee;37
FR-41;insee;41
FR-45;insee;45
FR-BFC;insee;27
FR-21;insee;21
FR-58;insee;58
FR-71;insee;71
FR-89;insee;89
FR-25;insee;25
FR-39;insee;39
FR-70;insee;70
FR-90;insee;90
FR-NOR;insee;28
FR-14;insee;14
FR-50;insee;50
FR-61;insee;61
FR-27;insee;27
FR-76;insee;76
FR-HDF;insee;32
FR-59;insee;59
FR-62;insee;62
FR-02;insee;02
FR-60;insee;60
FR-80;insee;80
FR-GES;insee;44
FR-67;insee;67
FR-68;insee;68
FR-08;insee;08
FR-10;insee;10
FR-51;insee;51
FR-52;insee;52
FR-54;insee;54
FR-55;insee;55
FR-57;insee;57
FR-88;insee;88
FR-PDL;insee;52
FR-44;insee;44
FR-49;insee;49
FR-53;insee;53
FR-72;insee;72
FR-85;insee;85
FR-BRE;insee;53
FR-22;insee;22
FR-29;insee;29
FR-35;insee;35
FR-56;insee;56
FR-NAQ;insee;75
FR-24;insee;24
FR-33;insee;33
FR-40;insee;40
FR-47;insee;47
FR-64;insee;64
FR-19;insee;19
FR-23;insee;23
FR-87;insee;87
FR-16;insee;16
FR-17;insee;17
FR-79;insee;79
FR-86;insee;86
FR-OCC;insee;76
FR-11;insee;11
FR-30;insee;30
FR-34;insee;34
FR-48;insee;48
FR-66;insee;66
FR-09;insee;09
FR-12;insee;12
FR-31;insee;31
FR-32;insee;32
FR-46;insee;46
FR-65;insee;65
FR-81;insee;81
FR-82;insee;82
FR-ARA;insee;84
FR-03;insee;03
FR-15;insee;15
FR-43;insee;43
FR-63;insee;63
FR-01;insee;01
FR-07;insee;07
FR-26;insee;26
FR-38;insee;38
FR-42;insee;42
FR-69;insee;69
FR-73;insee;73
FR-74;insee;74
FR-PAC;insee;93
FR-04;insee;04
FR-05;insee;05
FR-06;insee;06
FR-13;insee;13
FR-83;insee;83
FR-84;insee;84
FR-COR;insee;94
FR-2A;insee;2A
FR-2B;insee;2B
FR-GUA;insee;1
FR-GP;insee;971
MQ;insee;2
MQ;insee;972
GF;insee;3
GF;insee;973
FR-LRE;insee;4
FR-RE;insee;974
FR-MAY;insee;6
FR-YT;insee;976
