iso;type;code
FR-IDF;code_nuts;FR1
FR-75;code_nuts;FR101
FR-77;code_nuts;FR102
FR-78;code_nuts;FR103
FR-91;code_nuts;FR104
FR-92;code_nuts;FR105
FR-93;code_nuts;FR106
FR-94;code_nuts;FR107
FR-95;code_nuts;FR108
FR-CVL;code_nuts;FRB
FR-18;code_nuts;FRB01
FR-28;code_nuts;FRB02
FR-36;code_nuts;FRB03
FR-37;code_nuts;FRB04
FR-41;code_nuts;FRB05
FR-45;code_nuts;FRB06
FR-BFC;code_nuts;FRC
FR-21;code_nuts;FRC11
FR-58;code_nuts;FRC12
FR-71;code_nuts;FRC13
FR-89;code_nuts;FRC14
FR-25;code_nuts;FRC21
FR-39;code_nuts;FRC22
FR-70;code_nuts;FRC23
FR-90;code_nuts;FRC24
FR-NOR;code_nuts;FRD
FR-14;code_nuts;FRD11
FR-50;code_nuts;FRD12
FR-61;code_nuts;FRD13
FR-27;code_nuts;FRD21
FR-76;code_nuts;FRD22
FR-HDF;code_nuts;FRE
FR-59;code_nuts;FRE11
FR-62;code_nuts;FRE12
FR-02;code_nuts;FRE21
FR-60;code_nuts;FRE22
FR-80;code_nuts;FRE23
FR-GES;code_nuts;FRF
FR-67;code_nuts;FRF11
FR-68;code_nuts;FRF12
FR-08;code_nuts;FRF21
FR-10;code_nuts;FRF22
FR-51;code_nuts;FRF23
FR-52;code_nuts;FRF24
FR-54;code_nuts;FRF31
FR-55;code_nuts;FRF32
FR-57;code_nuts;FRF33
FR-88;code_nuts;FRF34
FR-PDL;code_nuts;FRG
FR-44;code_nuts;FRG01
FR-49;code_nuts;FRG02
FR-53;code_nuts;FRG03
FR-72;code_nuts;FRG04
FR-85;code_nuts;FRG05
FR-BRE;code_nuts;FRH
FR-22;code_nuts;FRH01
FR-29;code_nuts;FRH02
FR-35;code_nuts;FRH03
FR-56;code_nuts;FRH04
FR-NAQ;code_nuts;FRI
FR-24;code_nuts;FRI11
FR-33;code_nuts;FRI12
FR-40;code_nuts;FRI13
FR-47;code_nuts;FRI14
FR-64;code_nuts;FRI15
FR-19;code_nuts;FRI21
FR-23;code_nuts;FRI22
FR-87;code_nuts;FRI23
FR-16;code_nuts;FRI31
FR-17;code_nuts;FRI32
FR-79;code_nuts;FRI33
FR-86;code_nuts;FRI34
FR-OCC;code_nuts;FRJ
FR-11;code_nuts;FRJ11
FR-30;code_nuts;FRJ12
FR-34;code_nuts;FRJ13
FR-48;code_nuts;FRJ14
FR-66;code_nuts;FRJ15
FR-09;code_nuts;FRJ21
FR-12;code_nuts;FRJ22
FR-31;code_nuts;FRJ23
FR-32;code_nuts;FRJ24
FR-46;code_nuts;FRJ25
FR-65;code_nuts;FRJ26
FR-81;code_nuts;FRJ27
FR-82;code_nuts;FRJ28
FR-ARA;code_nuts;FRK
FR-03;code_nuts;FRK11
FR-15;code_nuts;FRK12
FR-43;code_nuts;FRK13
FR-63;code_nuts;FRK14
FR-01;code_nuts;FRK21
FR-07;code_nuts;FRK22
FR-26;code_nuts;FRK23
FR-38;code_nuts;FRK24
FR-42;code_nuts;FRK25
FR-69;code_nuts;FRK26
FR-73;code_nuts;FRK27
FR-74;code_nuts;FRK28
FR-PAC;code_nuts;FRL
FR-04;code_nuts;FRL01
FR-05;code_nuts;FRL02
FR-06;code_nuts;FRL03
FR-13;code_nuts;FRL04
FR-83;code_nuts;FRL05
FR-84;code_nuts;FRL06
FR-COR;code_nuts;FRM
FR-2A;code_nuts;FRM01
FR-2B;code_nuts;FRM02
FR-GUA;code_nuts;FRY1
FR-GP;code_nuts;FRY10
MQ;code_nuts;FRY2
MQ;code_nuts;FRY20
GF;code_nuts;FRY3
GF;code_nuts;FRY30
FR-LRE;code_nuts;FRY4
FR-RE;code_nuts;FRY40
FR-MAY;code_nuts;FRY5
FR-YT;code_nuts;FRY50
